realtime_start,value,date,realtime_end
2019-11-04,4887,2002-01-01,2019-11-04
2019-11-04,4825,2002-02-01,2019-11-04
2019-11-04,5102,2002-03-01,2019-11-04
2019-11-04,5267,2002-04-01,2019-11-04
2019-11-04,5220,2002-05-01,2019-11-04
2019-11-04,5361,2002-06-01,2019-11-04
2019-11-04,5261,2002-07-01,2019-11-04
2019-11-04,5605,2002-08-01,2019-11-04
2019-11-04,5711,2002-09-01,2019-11-04
2019-11-04,5597,2002-10-01,2019-11-04
2019-11-04,5202,2002-11-01,2019-11-04
2019-11-04,4482,2002-12-01,2019-11-04
2019-11-04,4344,2003-01-01,2019-11-04
2019-11-04,4320,2003-02-01,2019-11-04
2019-11-04,4595,2003-03-01,2019-11-04
2019-11-04,4865,2003-04-01,2019-11-04
2019-11-04,5166,2003-05-01,2019-11-04
2019-11-04,5546,2003-06-01,2019-11-04
2019-11-04,5595,2003-07-01,2019-11-04
2019-11-04,5852,2003-08-01,2019-11-04
2019-11-04,5751,2003-09-01,2019-11-04
2019-11-04,5610,2003-10-01,2019-11-04
2019-11-04,5146,2003-11-01,2019-11-04
2019-11-04,4741,2003-12-01,2019-11-04
2019-11-04,4524,2004-01-01,2019-11-04
2019-11-04,4626,2004-02-01,2019-11-04
2019-11-04,4981,2004-03-01,2019-11-04
2019-11-04,5366,2004-04-01,2019-11-04
2019-11-04,5715,2004-05-01,2019-11-04
2019-11-04,6122,2004-06-01,2019-11-04
2019-11-04,6306,2004-07-01,2019-11-04
2019-11-04,6198,2004-08-01,2019-11-04
2019-11-04,6332,2004-09-01,2019-11-04
2019-11-04,6049,2004-10-01,2019-11-04
2019-11-04,5732,2004-11-01,2019-11-04
2019-11-04,5106,2004-12-01,2019-11-04
2019-11-04,4825,2005-01-01,2019-11-04
2019-11-04,4976,2005-02-01,2019-11-04
2019-11-04,5334,2005-03-01,2019-11-04
2019-11-04,5629,2005-04-01,2019-11-04
2019-11-04,5994,2005-05-01,2019-11-04
2019-11-04,6058,2005-06-01,2019-11-04
2019-11-04,6099,2005-07-01,2019-11-04
2019-11-04,6399,2005-08-01,2019-11-04
2019-11-04,6378,2005-09-01,2019-11-04
2019-11-04,6524,2005-10-01,2019-11-04
2019-11-04,6232,2005-11-01,2019-11-04
2019-11-04,5794,2005-12-01,2019-11-04
2019-11-04,5572,2006-01-01,2019-11-04
2019-11-04,5410,2006-02-01,2019-11-04
2019-11-04,5792,2006-03-01,2019-11-04
2019-11-04,5969,2006-04-01,2019-11-04
2019-11-04,6475,2006-05-01,2019-11-04
2019-11-04,6739,2006-06-01,2019-11-04
2019-11-04,6711,2006-07-01,2019-11-04
2019-11-04,6975,2006-08-01,2019-11-04
2019-11-04,7126,2006-09-01,2019-11-04
2019-11-04,6876,2006-10-01,2019-11-04
2019-11-04,6777,2006-11-01,2019-11-04
2019-11-04,6291,2006-12-01,2019-11-04
2019-11-04,5935,2007-01-01,2019-11-04
2019-11-04,6133,2007-02-01,2019-11-04
2019-11-04,6579,2007-03-01,2019-11-04
2019-11-04,7061,2007-04-01,2019-11-04
2019-11-04,7834,2007-05-01,2019-11-04
2019-11-04,8107,2007-06-01,2019-11-04
2019-11-04,8021,2007-07-01,2019-11-04
2019-11-04,8432,2007-08-01,2019-11-04
2019-11-04,8469,2007-09-01,2019-11-04
2019-11-04,8380,2007-10-01,2019-11-04
2019-11-04,7826,2007-11-01,2019-11-04
2019-11-04,6907,2007-12-01,2019-11-04
2019-11-04,6790,2008-01-01,2019-11-04
2019-11-04,6903,2008-02-01,2019-11-04
2019-11-04,7012,2008-03-01,2019-11-04
2019-11-04,7460,2008-04-01,2019-11-04
2019-11-04,7739,2008-05-01,2019-11-04
2019-11-04,7827,2008-06-01,2019-11-04
2019-11-04,7881,2008-07-01,2019-11-04
2019-11-04,7670,2008-08-01,2019-11-04
2019-11-04,7539,2008-09-01,2019-11-04
2019-11-04,7207,2008-10-01,2019-11-04
2019-11-04,6522,2008-11-01,2019-11-04
2019-11-04,5663,2008-12-01,2019-11-04
2019-11-04,5004,2009-01-01,2019-11-04
2019-11-04,4970,2009-02-01,2019-11-04
2019-11-04,5112,2009-03-01,2019-11-04
2019-11-04,5097,2009-04-01,2019-11-04
2019-11-04,4962,2009-05-01,2019-11-04
2019-11-04,4743,2009-06-01,2019-11-04
2019-11-04,4601,2009-07-01,2019-11-04
2019-11-04,4451,2009-08-01,2019-11-04
2019-11-04,4470,2009-09-01,2019-11-04
2019-11-04,3989,2009-10-01,2019-11-04
